,temp,hum
2010-01-01,4.8,33.0
2010-01-02,6.3,35.0
2010-01-03,5.7,41.0
2010-01-04,6.5,41.0
2010-01-05,7.3,49.0
2010-01-06,6.5,30.0
2010-01-07,7.3,35.0
2010-01-08,7.6,39.0
2010-01-09,7.2,34.0
2010-01-10,7.0,36.0
2010-01-11,5.3,49.0
2010-01-12,3.9,68.0
2010-01-13,5.3,44.0
2010-01-14,3.8,31.0
2010-01-15,4.6,37.0
2010-01-16,3.8,31.0
2010-01-17,4.9,29.0
2010-01-18,5.3,43.0
2010-01-19,8.4,51.0
2010-01-20,11.6,47.0
2010-01-21,13.0,51.0
2010-01-22,7.0,27.0
2010-01-23,6.3,37.0
2010-01-24,7.0,42.0
2010-01-25,8.2,42.0
2010-01-26,6.7,30.0
2010-01-27,7.2,41.0
2010-01-28,12.2,54.0
2010-01-29,8.9,55.0
2010-01-30,8.9,43.0
2010-01-31,9.2,53.0
2010-02-01,5.9,69.0
2010-02-02,4.2,64.0
2010-02-03,3.7,55.0
2010-02-04,2.9,53.0
2010-02-05,4.9,41.0
2010-02-06,3.2,37.0
2010-02-07,4.9,34.0
2010-02-08,6.3,42.0
2010-02-09,11.8,54.0
2010-02-10,8.5,71.0
2010-02-11,4.5,76.0
2010-02-12,3.5,66.0
2010-02-13,2.2,71.0
2010-02-14,4.6,57.0
2010-02-15,5.3,70.0
2010-02-16,3.9,65.0
2010-02-17,3.1,59.0
2010-02-18,3.5,67.0
2010-02-19,5.7,60.0
2010-02-20,7.0,43.0
2010-02-21,6.1,42.0
2010-02-22,6.5,58.0
2010-02-23,9.7,58.0
2010-02-24,12.0,62.0
2010-02-25,13.9,67.0
2010-02-26,16.9,72.0
2010-02-27,10.9,80.0
2010-02-28,6.4,76.0
2010-03-01,9.0,75.0
2010-03-02,5.3,72.0
2010-03-03,8.4,63.0
2010-03-04,7.6,61.0
2010-03-05,12.5,73.0
2010-03-06,11.4,80.0
2010-03-07,6.2,78.0
2010-03-08,5.5,60.0
2010-03-09,3.5,72.0
2010-03-10,5.3,77.0
2010-03-11,8.6,41.0
2010-03-12,10.3,51.0
2010-03-13,16.1,51.0
2010-03-14,10.7,47.0
2010-03-15,13.7,64.0
2010-03-16,15.5,69.0
2010-03-17,9.8,38.0
2010-03-18,9.6,59.0
2010-03-19,8.7,63.0
2010-03-20,15.2,61.0
2010-03-21,15.3,44.0
2010-03-22,9.8,38.0
2010-03-23,10.9,67.0
2010-03-24,6.9,78.0
2010-03-25,5.3,83.0
2010-03-26,7.9,60.0
2010-03-27,8.1,50.0
2010-03-28,5.5,59.0
2010-03-29,4.4,61.0
2010-03-30,5.9,36.0
2010-03-31,9.1,50.0
2010-04-01,14.7,56.0
2010-04-02,15.2,71.0
2010-04-03,11.1,40.0
2010-04-04,8.8,55.0
2010-04-05,9.4,83.0
2010-04-06,14.8,72.0
2010-04-07,11.6,71.0
2010-04-08,8.9,43.0
2010-04-09,11.1,51.0
2010-04-10,15.6,62.0
2010-04-11,17.2,62.0
2010-04-12,8.6,72.0
2010-04-13,15.1,73.0
2010-04-14,13.9,36.0
2010-04-15,6.9,70.0
2010-04-16,5.2,68.0
2010-04-17,6.3,73.0
2010-04-18,12.0,55.0
2010-04-19,15.2,55.0
2010-04-20,15.6,71.0
2010-04-21,18.8,62.0
2010-04-22,9.1,70.0
2010-04-23,8.2,82.0
2010-04-24,11.2,54.0
2010-04-25,12.7,44.0
2010-04-26,14.4,42.0
2010-04-27,12.7,65.0
2010-04-28,14.1,86.0
2010-04-29,18.2,56.0
2010-04-30,15.2,48.0
2010-05-01,16.4,45.0
2010-05-02,17.9,41.0
2010-05-03,19.0,51.0
2010-05-04,20.6,61.0
2010-05-05,21.9,64.0
2010-05-06,22.4,59.0
2010-05-07,20.4,77.0
2010-05-08,19.7,53.0
2010-05-09,20.7,44.0
2010-05-10,19.1,55.0
2010-05-11,17.1,77.0
2010-05-12,16.4,58.0
2010-05-13,16.5,33.0
2010-05-14,15.4,44.0
2010-05-15,15.1,49.0
2010-05-16,17.3,61.0
2010-05-17,20.7,61.0
2010-05-18,21.6,54.0
2010-05-19,20.3,70.0
2010-05-20,20.2,87.0
2010-05-21,24.3,55.0
2010-05-22,23.4,48.0
2010-05-23,18.3,75.0
2010-05-24,18.1,87.0
2010-05-25,23.5,60.0
