Date,Open,High,Low,Close,Volume
2020-01-06,527.621,530.057,516.796,520.587,6405611.6791101
2020-01-07,522.481,524.644,517.879,522.481,4132307.466385
2020-01-08,512.739,514.091,505.708,506.516,6270343.1813782
2020-01-09,519.504,521.939,514.364,514.908,4191069.4616149
2020-01-10,517.069,521.397,516.257,520.045,3529521.3840843
2020-01-14,519.504,523.834,516.257,522.753,3824074.7979791
2020-01-15,521.939,521.939,512.2,513.281,4223959.8233133
2020-01-16,511.929,514.908,509.221,514.636,2629948.1953908
2020-01-17,516.527,521.67,515.174,520.587,3720588.2638529
2020-01-20,523.561,527.621,522.212,523.561,3467795.7756611
2020-01-21,522.212,524.375,515.447,516.527,3971170.714384
2020-01-22,510.034,516.796,508.682,516.257,3029471.6396397
2020-01-23,505.433,506.516,502.186,503.811,5120204.438466
2020-01-24,504.081,504.081,498.402,498.402,4738793.841099
2020-01-27,482.164,488.932,481.892,488.115,6100707.5842451
2020-01-28,481.892,482.437,477.568,479.726,5137202.1287303
2020-01-29,498.671,500.024,492.447,495.152,9234770.7768414
2020-01-30,493.797,496.235,485.68,488.388,4842273.6167004
2020-01-31,486.494,491.906,477.568,480.001,8271633.6609367
2020-02-03,463.495,474.319,461.331,472.153,9409211.6852182
2020-02-04,465.93,472.426,464.305,471.884,4809011.5361294
2020-02-05,481.626,482.978,472.153,475.941,5864544.4467076
2020-02-06,488.388,488.657,484.331,484.872,5180078.2110512
2020-02-07,484.331,486.763,481.626,486.494,3831096.9054084
2020-02-10,476.485,480.542,474.861,477.297,4783139.9025978
2020-02-12,482.978,483.247,475.131,477.297,4843385.3940556
2020-02-13,481.354,481.626,470.798,472.153,6214909.7596891
2020-02-14,468.096,470.798,464.305,470.528,5945481.1623182
2020-02-17,464.305,468.096,461.059,468.096,4163349.3715079
2020-02-18,466.471,469.449,463.764,465.93,4664504.1347827
2020-02-19,471.611,473.506,468.096,472.426,5290580.0940818
2020-02-20,478.374,482.437,472.153,472.426,7216107.5088835
2020-02-21,470.262,473.506,467.013,468.637,4385840.0130594
2020-02-25,445.097,448.343,441.307,446.449,10398213.67613
2020-02-26,446.991,446.991,431.029,439.957,7539124.4506306
2020-02-27,434.817,435.083,427.777,430.215,7663670.5485197
2020-02-28,420.204,426.428,412.898,417.766,13160851.991981
2020-03-02,414.25,432.917,407.485,421.825,11388699.163269
2020-03-03,435.083,437.521,421.825,422.371,8864812.5000124
2020-03-04,415.875,422.098,413.709,419.39,5114287.349867
2020-03-05,426.428,428.049,421.015,425.075,6053397.9095531
2020-03-06,414.25,416.958,409.113,411.001,9377058.0027401
2020-03-09,400.182,400.182,382.053,383.406,12042120.11454
2020-03-10,374.747,376.638,358.782,370.418,18948514.838052
2020-03-11,370.69,383.406,369.065,371.498,11034640.316399
2020-03-12,359.051,361.759,341.737,342.01,15389806.763945
2020-03-13,309.538,333.079,309.538,318.466,17227740.316055
2020-03-16,324.42,329.018,308.452,309.269,13297222.129281
2020-03-17,297.63,316.303,295.198,307.916,15482199.179356
2020-03-18,311.973,336.325,307.644,326.314,15671052.642202
2020-03-19,334.434,343.631,319.821,342.548,15761235.019952
2020-03-23,344.984,349.582,323.068,334.434,15848085.444899
2020-03-24,350.393,354.453,335.783,353.645,12694064.328108
2020-03-25,380.426,392.334,372.578,389.899,13888927.609916
2020-03-26,378.804,380.157,349.044,353.645,14282530.586304
2020-03-27,369.873,370.69,349.858,356.077,10228578.078996
2020-03-30,348.109,367.343,344.812,367.068,10153926.791595
2020-03-31,366.518,370.912,352.506,353.329,7618905.4584737
2020-04-01,350.032,368.163,344.265,354.154,8509168.7790403
2020-04-02,346.185,355.527,342.614,348.931,8961942.6414176
2020-04-03,356.077,360.475,343.99,347.011,7450023.4368731
2020-04-06,343.714,378.328,339.041,370.912,10089869.492062
2020-04-07,379.154,380.805,360.197,369.815,9452929.2038961
2020-04-08,374.209,379.704,365.971,374.76,7651660.6496729
2020-04-09,375.31,385.75,373.386,378.881,6299888.0732234
2020-04-10,378.881,385.478,373.659,382.728,4771596.341973
2020-04-13,379.154,379.982,365.971,366.793,5968683.1784921
2020-04-14,365.692,377.508,362.396,376.136,6800708.2895129
2020-04-15,373.659,375.86,358.824,359.921,6516451.4883885
2020-04-16,352.506,359.099,346.46,348.384,7700068.5846703
2020-04-17,355.255,366.793,352.231,366.246,6695157.0260125
2020-04-20,360.751,367.891,358.549,365.971,5270595.1357869
2020-04-21,361.848,365.971,356.353,359.375,5976688.6513025
2020-04-22,355.802,366.793,349.206,359.375,7084235.169942
2020-04-23,361.573,379.704,358.274,379.704,8713712.1575712
2020-04-24,377.236,378.881,372.013,375.035,5567953.3375385
2020-04-27,378.059,395.092,376.958,394.267,7862763.1766736
2020-04-28,399.487,402.236,388.499,392.346,7274224.0649801
2020-04-30,407.181,413.502,389.872,392.893,11664386.154749
2020-05-01,383.551,383.551,361.022,365.145,12331537.049468
2020-05-07,358.549,364.595,353.604,362.943,6996154.693453
2020-05-08,367.068,376.958,360.197,376.407,6372680.766262
2020-05-11,384.377,401.686,384.377,397.842,7242928.7151714
2020-05-12,392.621,393.168,379.704,384.649,7397252.8740167
2020-05-13,379.704,395.915,379.154,390.42,10908066.661023
2020-05-14,382.728,384.102,374.487,375.31,7929368.440115
2020-05-15,384.377,386.572,378.059,382.178,5241111.0706663
2020-05-18,382.453,388.774,380.53,385.75,4818544.4355798
2020-05-19,401.135,401.686,393.994,399.762,5716086.6875241
2020-05-20,398.117,405.257,393.168,404.434,4753399.013529
2020-05-21,412.676,415.972,405.257,406.358,5159582.9841221
2020-05-22,407.181,414.049,397.016,398.664,5517362.3989803
2020-05-25,409.379,413.502,403.884,410.752,8433098.201398
2020-05-26,413.777,427.238,411.3,425.862,8040377.2125173
2020-05-27,436.305,442.073,426.96,440.978,8613625.1614977
2020-05-28,451.415,451.965,433.556,438.504,8399609.7102411
2020-05-29,432.18,434.929,423.938,426.685,9876952.3011106
2020-06-01,425.039,429.709,420.642,423.391,7405616.5486497
2020-06-02,421.468,430.263,418.722,428.612,5261491.4026711
2020-06-03,440.699,443.446,434.107,438.229,5574144.1463982
2020-06-04,444.547,447.293,429.162,435.758,6201254.1600155
2020-06-05,442.073,449.219,436.853,448.666,7285145.841309
2020-06-08,455.813,456.363,445.919,454.712,7767400.3895444
2020-06-09,454.712,456.084,443.171,446.473,6025823.1277326
2020-06-10,437.676,447.293,435.483,447.018,4038931.6855929
2020-06-11,434.107,436.03,418.997,419.819,8724633.9339
2020-06-12,403.058,420.917,400.863,418.443,8599793.8401753
2020-06-15,411.3,418.722,404.159,404.434,4893523.5114417
2020-06-16,420.37,439.602,418.443,436.578,9306978.8574713
2020-06-17,434.929,448.118,428.061,434.382,9166124.4388633
2020-06-18,433.556,439.602,428.336,438.777,5363041.6193975
2020-06-19,442.623,443.171,429.434,433.832,6623090.8744067
2020-06-22,428.336,436.305,424.768,428.336,3553764.2131014
2020-06-23,433.832,437.403,426.413,433.556,5811084.5143056
2020-06-24,425.59,426.96,420.917,423.938,5308811.2151506
2020-06-25,418.171,418.171,407.731,412.126,6166680.9256031
2020-06-26,421.192,424.214,417.621,417.621,5123553.2875816
2020-06-29,407.731,412.676,406.08,410.202,5245115.4967027
2020-06-30,421.743,429.434,414.874,416.523,6936105.1992189
2020-07-01,417.896,419.272,404.982,407.181,5277144.1464692
2020-07-02,406.63,415.972,404.159,409.379,5542842.0380645
2020-07-03,409.379,413.227,404.707,409.929,2985612.1919378
2020-07-06,410.202,423.116,409.107,422.291,4880787.0711621
2020-07-07,421.468,423.938,415.149,417.071,4434197.2591196
2020-07-08,406.906,416.795,405.805,409.379,6613628.9394683
2020-07-09,404.982,411.575,402.511,408.553,4882608.4936378
